tmdb_id,imdb_id,original_language,original_title,overview,popularity,release_date,runtime,title,vote_average
315837,tt1219827,en,Ghost in the Shell,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",68.726676,2017-03-29,107.0,Ghost in the Shell,5.9
348893,tt3344680,en,Boyka: Undisputed IV,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude",67.955052,2016-08-01,87.0,Boyka: Undisputed IV,5.8
244786,tt2582802,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",64.29999,2014-10-10,105.0,Whiplash,8.3
550,tt0137523,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",63.869599,1999-10-15,139.0,Fight Club,8.3
406990,tt1536537,en,What Happened to Monday,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",60.581223,2017-08-18,123.0,What Happened to Monday,7.3
440597,tt5322012,en,Wish Upon,"A teenage girl discovers a box with magical powers, but those powers comes with a deadly price.",59.578823,2017-07-07,90.0,Wish Upon,5.3
284053,tt3501632,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",57.283628,2017-10-25,0.0,Thor: Ragnarok,0.0
263115,tt3315342,en,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",54.581997,2017-02-28,137.0,Logan,7.6
118340,tt2015381,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",53.291601,2014-07-30,121.0,Guardians of the Galaxy,7.9
403119,tt2932536,en,47 Meters Down,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",52.854103,2017-06-15,89.0,47 Meters Down,5.1
278,tt0111161,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,1994-09-23,142.0,The Shawshank Redemption,8.5
360249,tt4738360,no,Birkebeinerne,Year 1206. Norway is ravaged by civil war. The King's illegitimate son is guarded in deep secret. A boy that half of the kingdom wants to kill and two men will protect to the death. A boy named Earl Håkonsson. Birkebeiners is the story of the escape that changed Norway's history forever.,50.949523,2016-02-12,99.0,The Last King,5.2
353491,tt1648190,en,The Dark Tower,"The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O’Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.",50.903593,2017-08-03,95.0,The Dark Tower,5.7
324552,tt4425200,en,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",49.247505,2017-02-08,122.0,John Wick: Chapter 2,6.7
337339,tt4630562,en,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",48.573287,2017-04-12,136.0,The Fate of the Furious,6.8
13,tt0109830,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,1994-07-06,142.0,Forrest Gump,8.2
22,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.326665,2003-07-09,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,7.5
460846,tt3501112,en,Security,"An ex-special services veteran, down on his luck and desperate for work, takes a job as a security guard at a run-down mall in a rough area of town. On his first night on the job, he opens the door to a distraught and desperate young girl who has fled the hijacking of a Police motorcade that was transporting her to testify as a witness in a trial. Hot on her heels is the psychopathic hijacker and his team of henchmen, who will stop at nothing to extract and eliminate the witness.",47.114366,2017-03-04,87.0,Security,6.0
258489,tt0918940,en,The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",45.38298,2016-06-29,109.0,The Legend of Tarzan,5.5
