genre_id,tmdb_id
28,602
12,602
878,602
9648,383785
28,383785
12,383785
35,383785
53,156022
28,156022
80,156022
14,162
18,162
10749,162
80,181283
53,181283
27,283445
18,64682
10749,64682
12,223702
16,223702
35,223702
14,223702
35,2758
10751,2758
14,2758
16,863
35,863
10751,863
18,310307
36,310307
18,10802
16,10144
10751,10144
10751,278927
12,278927
18,278927
14,278927
18,5203
10749,5203
80,11185
35,11185
27,22804
9648,22804
16,425
35,425
10751,425
12,425
53,869
878,869
28,869
12,869
35,271718
10751,12155
14,12155
12,12155
28,23483
80,23483
28,290595
12,290595
18,290595
27,49018
53,49018
28,166424
12,166424
878,166424
35,376581
12,8326
10751,8326
18,8326
35,8326
28,319
53,319
80,319
10749,319
80,241239
18,241239
53,241239
80,242
18,242
53,242
18,382591
35,382591
12,128
14,128
16,128
28,43074
14,43074
35,43074
12,714
28,714
53,714
35,8005
878,8077
28,8077
27,8077
878,185
18,185
878,408647
16,408647
28,408647
18,334543
28,324849
16,324849
35,324849
10751,324849
14,324849
14,36586
27,36586
28,36586
53,36586
9648,335791
18,335791
27,335791
28,415
80,415
14,415
53,345009
10752,345009
27,321258
9648,321258
53,321258
28,256961
35,256961
10751,256961
12,8844
14,8844
10751,8844
28,47933
12,47933
878,47933
18,37799
12,137116
16,137116
35,137116
10751,137116
16,10193
10751,10193
35,10193
12,1734
28,1734
14,1734
18,1124
9648,1124
53,1124
35,256924
18,256924
10402,256924
12,9502
16,9502
10751,9502
35,9502
18,16869
28,16869
53,16869
10752,16869
12,9804
28,9804
12,8009
28,8009
14,8009
12,9487
16,9487
35,9487
10751,9487
16,10693
10402,10693
10751,10693
12,10693
14,10693
28,241554
80,241554
18,241554
9648,241554
53,241554
12,136799
16,136799
10751,136799
27,1091
9648,1091
878,1091
18,381284
37,429
14,856
16,856
35,856
80,856
10751,856
35,275601
18,275601
10402,275601
10749,6114
27,6114
28,608
12,608
35,608
878,608
18,1988
53,1988
18,979
53,979
80,979
9648,979
18,2323
14,2323
53,34544
28,34544
12,34544
35,34544
80,34544
53,290098
18,290098
10749,290098
37,9023
16,9023
12,9023
35,9023
10751,9023
53,411638
37,288
28,14161
12,14161
878,14161
28,1593
12,1593
35,1593
10751,1593
14,1593
16,950
10751,950
35,950
12,950
80,3133
18,3133
27,794
53,794
28,562
53,562
16,14836
10751,14836
18,22803
80,22803
53,22803
53,402
9648,402
27,41439
80,41439
878,70981
12,70981
9648,70981
10749,10198
10751,10198
16,10198
10402,10198
53,17692
27,17692
878,97
28,97
12,97
28,13183
9648,13183
878,13183
27,47763
16,342473
10751,342473
12,342473
35,342473
37,2055
16,133121
18,1808
10402,1808
12,334533
35,334533
18,334533
10749,334533
28,534
878,534
53,534
18,389
16,12092
12,12092
10751,12092
14,12092
18,168672
80,168672
35,308266
80,308266
18,308266
53,265208
80,265208
18,265208
28,64635
878,64635
12,64635
53,64635
12,1362
16,1362
10751,1362
12,137106
16,137106
35,137106
10751,137106
14,137106
35,184
80,184
10749,184
35,2978
14,2978
18,345938
14,345938
12,286873
80,106646
18,106646
35,106646
35,19913
18,19913
10749,19913
28,82675
80,82675
53,82675
18,203833
28,8681
53,8681
16,812
10751,812
35,812
12,812
14,812
10749,812
27,13186
53,13186
12,147441
18,147441
28,147441
27,49017
28,49017
18,49017
14,49017
10752,49017
28,310135
12,310135
35,310135
878,310135
18,629
80,629
53,629
18,1495
28,1495
12,1495
36,1495
10752,1495
18,1631
35,291870
10749,222935
18,222935
16,62211
10751,62211
14,408
16,408
10751,408
18,74997
27,74997
80,74997
18,11296
36,11296
35,10525
18,10525
10749,10525
16,76492
35,76492
10751,76492
14,76492
12,809
16,809
35,809
10751,809
14,809
12,604
28,604
53,604
878,604
27,407531
53,407531
18,321697
36,321697
53,241254
28,241254
27,6537
18,6537
53,6537
28,19959
878,19959
53,19959
35,8363
28,38234
53,38234
35,11635
35,15592
18,15592
18,10320
27,10320
53,10320
18,429662
36,429662
12,9016
16,9016
10751,9016
14,9016
878,9016
10751,953
16,953
14,4935
16,4935
12,4935
18,412202
16,10681
10751,10681
18,77338
35,77338
28,290250
35,290250
80,290250
53,290250
35,13818
18,13818
10749,13818
27,24831
18,400928
12,8916
16,8916
35,8916
10751,8916
27,132232
53,334524
12,334524
18,334524
14,8067
18,8067
35,8067
53,8067
878,8067
10749,8067
18,14832
27,243688
53,243688
35,193893
18,2024
36,2024
10752,2024
28,2024
35,115
80,115
14,310
35,310
27,16335
53,16335
18,14168
37,14168
80,18588
18,18588
53,18588
35,369299
10749,369299
28,1669
12,1669
53,1669
27,241258
53,241258
18,38167
35,11448
10749,11448
28,311324
12,311324
14,311324
18,253312
35,253312
878,253312
16,62177
12,62177
35,62177
10751,62177
28,62177
14,62177
28,12123
18,12123
878,12123
53,12123
35,254470
10402,254470
28,244316
27,244316
53,244316
12,14784
14,14784
18,14784
12,1995
14,1995
28,1995
53,1995
10770,417320
10751,417320
28,417320
35,417320
10402,417320
12,417320
35,926
